time,house,duration,mean,ci_low,ci_high
110.0,0482 Monica Hills,3.0,1.5999999999999999,1.0666666666666667,2.2666666666666666
120.0,3039 Christopher Oval Apt. 822,3.0,1.28,1.08,1.4704999999999997
120.0,52880 Burns Creek,1.0,1.28,1.08,1.4704999999999997
120.0,6978 Maddox Wall,1.0,1.28,1.08,1.4704999999999997
120.0,184 Rodriguez Mews,1.0,1.28,1.08,1.4704999999999997
130.0,0482 Monica Hills,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,3039 Christopher Oval Apt. 822,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,184 Rodriguez Mews,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,52880 Burns Creek,1.0,1.1333333333333333,1.0,1.4000000000000001
140.0,6978 Maddox Wall,1.0,1.3,1.0,1.6
140.0,184 Rodriguez Mews,1.0,1.3,1.0,1.6
150.0,0482 Monica Hills,4.0,1.8666666666666665,1.5333333333333334,2.3
150.0,6978 Maddox Wall,1.0,1.8666666666666665,1.5333333333333334,2.3
150.0,3039 Christopher Oval Apt. 822,1.0,1.8666666666666665,1.5333333333333334,2.3
